Started render process: /Applications/kdenlive.app/Contents/MacOS/melt -loglevel error -progress2 %2Fvar%2Ffolders%2Ft5%2F9k0s9k1129n3g9zp_99sr9cc0000gn%2FT%2Fkdenlive-YPNqNj-1.mlt
2	10	1
5	36	4
7	45	5
9	54	6
12	63	7
14	72	8
17	81	9
19	90	10
21	99	11
24	108	12
26	117	13
28	126	14
31	135	15
33	144	16
35	153	17
37	162	18
39	171	19
42	180	20
44	189	21
46	198	22
48	207	23
50	216	24
52	225	25
53	234	26
55	243	27
56	252	28
58	261	29
60	270	30
62	279	31
64	288	32
65	297	33
68	306	34
70	315	35
72	324	36
74	333	37
76	342	38
78	351	39
79	360	40
81	369	41
84	378	42
87	387	43
89	396	44
92	405	45
95	414	46
98	423	47
102	432	48
106	441	49
109	450	50
112	459	51
115	468	52
117	477	53
121	486	54
124	495	55
127	504	56
132	513	57
136	522	58
140	531	59
144	540	60
148	549	61
152	558	62
156	567	63
159	576	64
163	585	65
166	594	66
170	603	67
173	612	68
176	621	69
179	630	70
182	639	71
184	648	72
186	657	73
188	666	74
190	675	75
192	684	76
195	693	77
197	702	78
199	711	79
202	720	80
204	729	81
208	738	82
211	747	83
213	756	84
216	765	85
219	774	86
222	783	87
225	792	88
228	801	89
231	810	90
234	819	91
236	828	92
239	837	93
242	846	94
245	855	95
247	864	96
251	873	97
254	882	98
256	891	99

Rendering of /Users/andresponce/Documents/Daw/ciclo-II/diw/project_video.webm finished
